1 2191 1
2 3978 56
3 217 20
4 328 81
5 2119 58
6 1724 48
7 382 35
8 1045 89
9 3601 82
10 940 74
11 592 18
12 505 86
13 3763 71
14 323 51
15 190 31
16 237 2
17 1359 10
18 3695 37
19 1610 15
20 1748 17
21 3822 98
22 3382 45
23 2158 12
24 3402 1
25 2801 1
26 1606 38
27 1047 53
28 17 57
29 2123 60
30 3857 61
31 1610 17
32 974 66
33 2365 45
34 1030 35
35 2763 6
36 3818 61
37 1759 78
38 3596 80
39 28 52
40 3801 30
41 2430 87
42 3176 72
43 2329 95
44 575 92
45 898 54
46 1547 15
47 17 46
48 1688 24
49 332 86
50 2666 21
51 3454 78
52 262 84
53 3276 99
54 2674 99
55 2793 61
56 3242 39
57 2141 27
58 2769 30
59 576 84
60 2785 3
61 2940 38
62 3142 10
63 125 68
64 3509 6
65 2603 1
66 2854 91
67 345 28
68 2230 28
69 3829 59
70 237 69
71 1110 83
72 586 72
73 3966 49
74 2504 21
75 1180 74
76 3726 47
77 1484 46
78 2805 94
79 883 74
80 629 11
81 971 60
82 2106 39
83 3645 73
84 429 61
85 3646 57
86 1784 36
87 323 16
88 3159 23
89 694 43
90 3936 80
91 3134 52
92 3516 99
93 850 75
94 1844 35
95 15 17
96 3032 66
97 460 49
98 1635 7
99 1256 70
100 4010 50
101 155 15
102 1018 95
103 764 15
104 1000 90
105 620 69
106 2506 31
107 3576 43
108 3793 7
109 790 96
110 3149 68
111 2608 16
112 2653 87
113 3672 82
114 1840 58
115 3722 19
116 2683 18
117 609 81
118 2570 48
119 2300 16
120 1705 50
121 3809 73
122 2183 41
123 2337 28
124 2167 57
125 1031 68
126 1603 75
127 1415 72
128 147 48
129 3212 13
130 793 37
131 283 83
132 1573 4
133 2386 52
134 286 66
135 798 43
136 629 11
137 2603 94
138 1835 92
139 2441 55
140 2817 35
141 1782 47
142 2765 38
143 1601 84
144 3376 32
145 2392 46
146 806 27
147 3835 98
148 3539 30
149 1582 74
150 3989 57
151 748 20
152 3618 76
153 2320 84
154 1785 40
155 2534 50
156 2862 89
157 200 3
158 1153 99
159 1051 57
160 1646 6
161 3617 53
162 2869 20
163 2942 84
164 3620 63
165 1590 66
166 1605 20
167 3651 84
168 1246 13
169 1567 11
170 2305 74
171 1428 32
172 2964 94
173 3011 29
174 2974 34
175 2987 14
176 562 73
177 808 83
178 1101 71
179 2748 60
180 3680 74
181 1486 26
182 2091 15
183 441 1
184 3666 7
185 820 80
186 2092 85
187 2645 21
188 1771 12
189 2778 55
190 365 2
191 321 12
192 306 45
193 112 75
194 1434 68
195 1241 54
196 2817 8
197 576 44
198 1595 20
199 274 69
200 2729 29
201 2928 44
202 802 24
203 2803 58
204 2487 53
205 2645 63
206 2197 16
207 397 50
208 2203 96
209 200 69
210 3937 92
211 1874 19
212 3918 34
213 2940 18
214 2145 99
215 2746 46
216 2798 99
217 1503 10
218 1570 62
219 201 10
220 3271 44
221 685 93
222 245 5
223 1254 89
224 3169 29
225 858 23
226 1300 77
227 1958 41
228 36 20
229 1777 63
230 2051 60
231 2448 45
232 3064 47
233 1620 60
234 1413 63
235 3404 85
236 3806 83
237 2518 62
238 4029 72
239 216 57
240 2273 38
241 3488 19
242 1562 74
243 1237 55
244 1148 90
245 107 25
246 2474 19
247 1580 60
248 75 70
249 125 58
250 1841 35
251 3466 49
252 3784 8
253 1623 74
254 2938 61
255 2470 62
256 3265 69
257 3536 80
258 2353 15
259 2403 58
260 319 86
261 3204 91
262 1867 61
263 2386 73
264 2381 5
265 2299 67
266 3296 97
267 2717 32
268 1388 57
269 41 31
270 1079 18
271 1379 11
272 937 87
273 3114 85
274 1501 74
275 3514 16
276 472 33
277 2931 8
278 2540 8
279 3611 64
280 739 82
281 2163 54
282 3644 45
283 3151 41
284 3899 30
285 797 47
286 3642 50
287 3221 16
288 3851 32
289 3429 74
290 3597 32
291 2539 82
292 749 95
293 2492 87
294 1070 72
295 1012 30
296 2958 94
297 3183 13
298 690 7
299 2884 78
300 1943 52
301 329 61
302 3258 95
303 3455 8
304 503 87
305 1242 65
306 2316 32
307 1910 11
308 3078 51
309 775 23
310 2940 29
311 4019 92
312 62 55
313 2616 66
314 2794 12
315 703 49
316 291 38
317 1110 50
318 2733 79
319 3389 51
320 2248 38
321 1499 69
322 3149 53
323 939 61
324 2578 40
325 935 1
326 826 71
327 3922 10
328 1138 62
329 92 86
330 3107 49
331 613 74
332 189 50
333 37 38
334 1408 78
335 2601 55
336 1386 36
337 1674 95
338 1682 63
339 366 18
340 2202 38
341 2825 14
342 1365 74
343 2656 95
344 3540 61
345 2163 3
346 2302 33
347 218 6
348 1881 64
349 1050 14
350 1724 84
351 3487 86
352 1965 60
353 353 72
354 2285 85
355 2865 2
356 3145 13
357 3491 71
358 3436 62
359 1183 22
360 3492 7
361 2605 17
362 3017 62
363 3347 34
364 3093 32
365 3522 37
366 3669 66
367 3686 80
368 2108 80
369 1778 53
370 434 61
371 1430 80
372 3325 90
373 1727 15
374 686 63
375 3 40
376 2656 26
377 3125 14
378 257 85
379 362 7
380 1558 43
381 2762 57
382 3262 30
383 622 55
384 577 23
385 195 31
386 1398 11
387 74 80
388 3952 14
389 2616 29
390 216 79
391 3693 89
392 2575 79
393 1744 74
394 85 61
395 980 36
396 1583 85
397 2642 23
398 3158 86
399 92 23
400 3337 25
